exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
6084;97.2744;13.1138;15.3734;0;0.1786673812395903;0.3392772686447068;0.481024368424502;0.6056891820291479;0.7226873279483086;0.8142389588589936;0.8820626109560957;0.9292805670207112;0.9576253608552264;0.9676169334890604
6085;96.7997;3.04472;5.68101;0;0.1786352866072106;0.3392635230545154;0.4809956187577711;0.6039779769424126;0.720534357894827;0.8104845602365195;0.8765873233869244;0.9238283410756786;0.9521801418184014;0.9621409815877952
6086;90.3451;4.58377;7.44368;0;0.1786621176604354;0.3392970492840381;0.4810174995418607;0.6048356571965908;0.7175313784675186;0.8016970379101198;0.8678459277074019;0.9150963716475496;0.9434397280699006;0.953430541637848
6087;90.8433;6.54755;13.8122;0;0.178662121479261;0.339296794446878;0.4810022699717129;0.6077304536621881;0.7168612510246126;0.7942649071615524;0.8603574901684683;0.907607462732447;0.9359500833424854;0.9459408984403604
6088;83.651;12.6563;4.8758;0;0.1786617623377286;0.3392871936040114;0.4810041622377029;0.6088400406977545;0.7159640478241537;0.8012949002040658;0.8674407438606675;0.9146824814171718;0.943021891202052;0.953013431282577
6089;80.987;10.0488;15.1342;0;0.1786674590082578;0.3392768258224136;0.4814411728155581;0.615488568194664;0.709592571172839;0.7939689168920403;0.86011101443922;0.9073593839987604;0.9357041649814188;0.9456957326328908
6090;90.9891;15.8;12.4;0;0.1786617274321478;0.33928794867842;0.4810479531090156;0.6146183057846891;0.7448115020247118;0.8541212426282784;0.920262370371728;0.9675111674157062;0.995850368883951;1.005841912303977
6091;95.6084;15.8187;9.80153;0;0.1786617439297542;0.3392869992518805;0.4810227067002637;0.6038348401648226;0.7324489892572797;0.8412033399364399;0.9073828851437968;0.9546120409251814;0.9829696016829986;0.9929567520374996
6092;85.9355;10.619;13.8757;0;0.1786673910813304;0.3392768438896082;0.4810272711327206;0.6131589202851024;0.7118274489326385;0.796292795098396;0.862425864987745;0.9096741253341952;0.938018910241136;0.9480104778402788
6093;82.3508;11.5061;15.4071;0;0.178667371486839;0.3392892418199904;0.4812442153265743;0.6172502845610104;0.715553779474434;0.8026886818277199;0.868802216806945;0.9160504442529898;0.9443952349292528;0.9543868024266154
