exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
2315;11.6347;4.49917;0.;0.199533;0.35971;0.501445;0.624272;0.728218;0.813257;0.8794;0.926642;0.954982;0.964973
2316;23.947;7.95262;0.;0.181876;0.338299;0.47837;0.601232;0.705178;0.790217;0.85636;0.903602;0.931941;0.941933
2317;60.0741;10.2636;0.;0.178661;0.33934;0.487223;0.605515;0.709515;0.794552;0.860696;0.907938;0.936277;0.946269
2318;167.011;8.61232;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792834;0.858969;0.909885;0.935708;0.944075
2319;173.769;2.3883;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858949;0.907273;0.94382;0.95498
2320;187.804;13.8758;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792829;0.858979;0.906224;0.935314;0.941163
2321;144.086;9.43381;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792837;0.863886;0.906428;0.934237;0.944232
2322;135.49;17.2096;0.;0.178667;0.339277;0.481011;0.603844;0.707808;0.791539;0.885828;0.958809;0.987184;0.997177
2323;158.621;17.3249;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792834;0.858566;0.92014;0.970096;0.980117
2324;162.051;9.67134;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858998;0.911702;0.934693;0.944492
2325;47.284;7.5562;0.;0.178663;0.341374;0.482527;0.602269;0.706253;0.791292;0.857436;0.904678;0.933017;0.943009
2326;158.334;12.2579;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792833;0.858866;0.91148;0.938486;0.948661
2327;87.9547;8.45088;0.;0.178662;0.339289;0.481017;0.60636;0.708763;0.791205;0.857365;0.904606;0.93295;0.94294
2328;158.049;6.19017;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792831;0.859293;0.911781;0.935609;0.9454
2329;67.0529;7.6963;0.;0.178668;0.339291;0.483472;0.605038;0.706216;0.791289;0.857439;0.90468;0.933023;0.943014
2330;139.588;7.10438;0.;0.178662;0.339295;0.481024;0.603861;0.707792;0.792971;0.864434;0.906364;0.934359;0.944348
2331;68.4603;8.24045;0.;0.178662;0.339292;0.483035;0.605059;0.705875;0.79093;0.857068;0.904319;0.932662;0.942653
2332;140.238;13.3449;0.;0.178662;0.339295;0.481024;0.603861;0.707787;0.792761;0.866148;0.916195;0.945045;0.955022
2333;81.9654;11.5473;0.;0.178667;0.339278;0.481046;0.611672;0.714265;0.799959;0.866098;0.91334;0.94168;0.951671
2334;86.8992;6.29903;0.;0.178662;0.339295;0.481016;0.606639;0.712179;0.794721;0.86089;0.908141;0.936484;0.946475
2335;71.0214;2.37992;0.;0.178635;0.339161;0.48727;0.648685;0.759921;0.844851;0.910989;0.95824;0.986592;0.996553
2336;180.649;13.668;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858973;0.906042;0.938116;0.946482
2337;101.969;14.8207;0.;0.178667;0.339277;0.481025;0.603827;0.723253;0.823603;0.890847;0.93808;0.96642;0.976411
2338;140.791;3.83919;0.;0.178662;0.339295;0.481024;0.603861;0.707787;0.792944;0.866475;0.91636;0.944467;0.954438
2339;102.193;13.8095;0.;0.178667;0.339277;0.481024;0.60386;0.71953;0.812705;0.880096;0.927329;0.955668;0.96566
2340;35.9659;15.1368;0.;0.179625;0.369432;0.541111;0.66403;0.767968;0.853007;0.91915;0.966392;0.994732;1.00472
2341;97.4505;14.4293;0.;0.178667;0.339277;0.481018;0.604049;0.722195;0.821201;0.887582;0.934817;0.963157;0.973148
2342;148.419;17.5501;0.;0.178662;0.339295;0.481024;0.603861;0.707786;0.792876;0.859039;0.955856;0.984044;0.994055
2343;142.188;7.42632;0.;0.178662;0.339295;0.481024;0.603861;0.707784;0.792883;0.864025;0.906436;0.934057;0.944061
2344;70.5275;13.4418;0.;0.178667;0.339266;0.486547;0.618746;0.731522;0.81653;0.88267;0.92992;0.95826;0.968251
2345;167.248;15.6951;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.79283;0.858979;0.909085;0.946432;0.959347
2346;144.15;8.4573;0.;0.178662;0.339295;0.481024;0.603861;0.707776;0.792843;0.863628;0.906334;0.933756;0.943752
2347;136.728;2.61005;0.;0.178662;0.339295;0.48101;0.603855;0.707776;0.793601;0.874846;0.928218;0.95653;0.966488
2348;114.407;15.5313;0.;0.178662;0.339287;0.481023;0.603853;0.707955;0.811805;0.895254;0.942512;0.970856;0.980848
2349;98.2976;16.8823;0.;0.178662;0.339287;0.481036;0.603355;0.740877;0.864923;0.931122;0.978366;1.00671;1.0167
2350;136.782;14.7362;0.;0.178667;0.339277;0.481011;0.603844;0.707792;0.792686;0.868535;0.926017;0.954474;0.964457
2351;109.421;13.6641;0.;0.178667;0.339277;0.481023;0.603845;0.712765;0.80499;0.877343;0.924558;0.952897;0.962888
2352;113.487;8.24752;0.;0.178662;0.339297;0.48101;0.603851;0.708511;0.796715;0.857723;0.904965;0.93331;0.943301
2353;18.6672;12.9884;-0.0000000000000000208167;0.194262;0.365632;0.507908;0.630722;0.734669;0.819707;0.885851;0.933093;0.961432;0.971424
2354;14.1875;12.4469;-0.00000000000000000693889;0.191039;0.35981;0.50158;0.624403;0.72835;0.813389;0.879532;0.926774;0.955113;0.965105
2355;135.124;16.1729;0.;0.178667;0.339277;0.481011;0.603844;0.707804;0.79242;0.875857;0.941144;0.969511;0.979496
2356;44.1942;5.40643;0.;0.178635;0.344635;0.490879;0.612171;0.716129;0.801182;0.867325;0.914567;0.942906;0.952898
2357;27.4235;8.29668;0.0000000000000000277556;0.180616;0.339594;0.478396;0.601258;0.705205;0.790244;0.856387;0.903629;0.931969;0.94196
2358;182.041;4.34016;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858968;0.906303;0.938947;0.948557
