exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
1493;50.4487;6.40217;6.30235;0.000000000000000006938893903907228;0.1786763369065702;0.3391462767747618;0.4843667555112539;0.6052419650068633;0.7092056544038785;0.7942381101308683;0.8603764538359396;0.9076269874737046;0.9359703628434332;0.9459611762775436
1494;125.001;14.7542;10.1759;0;0.1786673855333666;0.3392772063386052;0.4810230676215415;0.6038596079803933;0.7077778814317861;0.8033132664013647;0.8805464046537209;0.9303640515869514;0.958684159733824;0.968675685408291
1495;167.175;14.4832;15.263;0;0.1786621449696774;0.3392947989181778;0.481010247078332;0.6038550266130678;0.7077885754724962;0.7928310477723534;0.8588329119609451;0.9106765632710752;0.9406826872139228;0.9576635434244128
1496;68.994;8.82108;6.31605;0;0.1786617819351046;0.339291147607778;0.4813549798837822;0.6037042289621091;0.706566113150113;0.7916181482432105;0.8577564684028322;0.9050069992470028;0.9333503746758592;0.9433411881094488
1497;79.5903;16.5157;12.8365;0;0.1786619860405174;0.3393104649025528;0.4804433725760829;0.6455531485268501;0.7988053416085831;0.884419438781515;0.950569134323236;0.997812398324812;1.026155243641829;1.036142890995177
1498;44.613;11.8502;9.84244;0;0.1786488451357496;0.3483294760457792;0.490900698421899;0.6154431459225327;0.719366970008763;0.8044057315178585;0.8705491972127044;0.9177910952624744;0.946130502164865;0.9561220422086424
1499;52.5091;8.15474;13.6837;0.000000000000000006938893903907228;0.178666951010829;0.341962646705489;0.4880294852497675;0.6012817572353876;0.7050927974617894;0.7901395982585504;0.8562813342555717;0.9035274051232812;0.9318700111157126;0.9418608296680236
1500;18.4509;13.6209;14.3264;0;0.2053660950411245;0.3855091074861772;0.529773904593029;0.6525792692754501;0.7565026061369431;0.8415432877537257;0.9076880380052078;0.954936511614001;0.9832812900321132;0.9932728577069396
1501;54.7498;9.79035;9.63902;0;0.1786551980424394;0.3397220279240311;0.484877122407435;0.603966698659798;0.7078870483997302;0.7929433857105784;0.8590864855127088;0.9063283931354868;0.934667800064446;0.9446593401055356
1502;142.532;7.87228;15.3838;0;0.1786621449240168;0.3392948080392878;0.4810095159177648;0.603844742719757;0.7077834199847006;0.7934171661860103;0.8704999314168202;0.9086140602264994;0.9334853640887464;0.9435024623635046
1503;79.7461;16.7978;4.18905;0;0.1786620378388082;0.3392908010136272;0.481026502039487;0.6243010572737853;0.7506392387154849;0.8357158307732695;0.901870120975858;0.9491118216214596;0.9774512319383962;0.9874427720133096
1504;89.4679;12.8681;10.8905;0;0.1786673761280796;0.3392781147912564;0.4810033176430475;0.6100014308595822;0.7182862597545983;0.8092600818278162;0.8753717918165584;0.9226214624442524;0.9509606655320854;0.960952209063407
1505;37.2714;3.59243;10.694;0;0.17933325547426;0.3633055018365959;0.5145194789818508;0.637226753157033;0.7411757344923773;0.8262144043960082;0.8923578665074936;0.9395997646445632;0.9679391715460778;0.9779307115898558
